url,domain,sector,task_id,category,observation_mode,success,verified_success,self_reported_success,total_steps,duration_seconds,compliance_bin
https://www.etsy.com,etsy.com,ecommerce,etsy.com::search,search,dom,0,0,0,6,32.74,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::search,search,dom,1,1,1,5,29.47,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::search,search,screenshot,0,1,0,2,15.34,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::search,search,screenshot,0,1,0,4,27.92,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::search,search,screenshot,0,1,0,5,35.6,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::info,info,accessibility_tree,0,1,0,7,45.35,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::info,info,accessibility_tree,1,1,1,3,16.49,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::info,info,accessibility_tree,1,1,1,8,56.25,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::info,info,dom,0,1,0,6,33.96,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::info,info,dom,0,1,0,7,45.23,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::info,info,dom,0,1,0,6,39.04,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::info,info,screenshot,0,1,0,7,45.18,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::info,info,screenshot,0,1,0,8,53.37,high
https://www.temu.com,temu.com,ecommerce,temu.com::navigation,navigation,accessibility_tree,0,0,0,8,101.1,high
https://www.temu.com,temu.com,ecommerce,temu.com::navigation,navigation,accessibility_tree,0,0,0,8,138.08,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::info,info,screenshot,0,1,0,7,45.02,high
https://www.temu.com,temu.com,ecommerce,temu.com::navigation,navigation,accessibility_tree,0,0,0,8,124.83,high
https://www.temu.com,temu.com,ecommerce,temu.com::navigation,navigation,dom,1,1,1,4,59.52,high
https://www.temu.com,temu.com,ecommerce,temu.com::navigation,navigation,dom,1,1,1,4,57.78,high
https://www.temu.com,temu.com,ecommerce,temu.com::navigation,navigation,dom,1,1,1,3,15.82,high
https://www.temu.com,temu.com,ecommerce,temu.com::navigation,navigation,screenshot,1,1,1,3,17.63,high
